	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	uitgever	ˈœy̯tˌxeːvər*	znw*	uitgevers; uitgevertje*	B2*	(vrouw: uitgeefster)	
de	uitgeverij	ˌœy̯txeːvəˈrɛi̯*	znw*	uitgeverijen; uitgeverijtje*	B2*	bedrijf dat boeken publiceert	
	uitgezonderd	*	ovw; vz*	*	B2*	behalve	
	uitgroeien tot	*					
	uithalen	*	ww*	uithaal, haalde uit, uitgehaald*	B1*		
	uithalen naar	*					
	uitheems	œy̯tˈɦeːms*	bnw*	uitheemse; uitheemser, uitheemst*	B2*		
de	uithoek	ˈœy̯tɦuk*	znw*	uithoeken; uithoekje*	B2*	een verre plaats	
	uithouden	*	ww*	houd uit, hield uit, uitgehouden*	B1*	doorgaan, niet stoppen	
	uithuwelijken	*	ww*	uithuwelijk, uithuwelijkte, uitgehuwelijkt*	B2*		
de	uiting	ˈœy̯tɪŋ*	znw*	uitingen; /*	A2	iets wat je zegt/communiceert	
het	uitje	ˈœy̯tjə*	znw*	uitjes; /*	A2*		
	uitkammen	*	ww*	uitkam, uitkamde, uitgekamd*	B2*		
	uitkeren	ˈœy̯tˌkeːrə(n)*	ww*	keer uit, keerde uit, uitgekeerd*	B1*		
de	uitkering	ˈœy̯tˌkeːrɪŋ*	znw*	uitkeringen; uitkerinkje*	B1	geld gegeven door de overheid, door de sociale zekerheid	
de	uitkeringsgerechtigde	*	znw*	uitkeringsgerechtigden; /*	B2*		
	uitkiezen	*	ww*	uitkies, koos uit, uitgekozen*	B1*		
	uitkijken	ˈœy̯tˌkɛi̯kə(n)*	ww*	kijk uit, keek uit, uitgekeken*	B1*	voorzichtig zijn	
	uitkijken naar	*				blij zijn dat iets gaat gebeuren; wachten op iets leuks	
	uitkleden	*	ww*	uitkleed, uitkleedde, uitgekleed*	A2*	bloot maken	
	uitkomen	ˈœy̯tˌkoːmə(n)*	ww*	kom uit, uitkwam, uitgekomen*	A2		
	uitkomen voor	*					
de	uitkomst	ˈœy̯tkɔmst*	znw*	uitkomsten; /*	B1*	resultaat	
de	uitlaat	ˈœy̯tlaːt*	znw*	uitlaten; /*	B2*		
het	uitlaatgas	ˈœy̯tlaːtˌxɑs*	znw*	uitlaatgassen; /*	B1*		
	uitlachen	*	ww*	uitlach, uitlachte, uitgelachen*	B1*	doen alsof iemand belachelijk is	
	uitlaten	ˈœy̯tˌlaːtə(n)*	ww*	uitlaat, liet uit, uitgelaten*	B1*		
zich	uitlaten over	*					
de	uitlating	*	znw*	uitlatingen; uitlatinkje*	B2*		
de	uitleg	ˈœy̯tlɛx*	znw*	uitleggen; uitlegje*	B1*	iets gezegd om iets begrijpelijk te maken	
	uitleggen	ˈœy̯tˌlɛɣə(n)*	ww*	leg uit, legde uit, uitgelegd*	A2	begrijpelijk of duidelijk maken	
	uitlekken	*	ww*	lek uit, lekte uit, uitgelekt*	B2*		
zich	uitleven	*	ww*	uitleef, uitleefde, uitgeleefd*	B2*		
	uitleveren	ˈœy̯tˌleːvərə(n)*	ww*	lever uit, uitleverde, uitgeleverd*	B2	een crimineel (op vraag) aan een ander land geven	
	uitlokken	*	ww*	lok uit, lokte uit, uitgelokt*	B1*	zorgen dat anderen iets slechts doen; provoceren	
	uitlopen	*	ww*	loop uit, uitliep, uitgelopen*	B1*	later worden dan gepland	
	uitlopen op	*				resulteren in; als resultaat hebben	
	uitloven	*	ww*	loof uit, uitloofde, uitgeloofd*	B2*		
	uitmaken	ˈœy̯tˌmaːkə(n)*	ww*	maak uit, uitmaakte, uitgemaakt*	A2	1. een verschil maken; betere optie zijn 2.	
	uitmaken voor	*					
	uitmonden in	*			B2		
	uitmuntend	*	bnw*	uitmuntende; uitmuntender, uitmuntendst*	B2	heel goed	
	uitnodigen	*	ww*	nodig uit, uitnodigde, uitgenodigd*	B1	vragen om mee te doen of te komen	
	uitnodigen tot	*			B2	oproepen tot een bepaalde actie	
	uitnodigend	*	bnw*	uitnodigende; uitnodigender, uitnodigendst*	B2	(van een ding) aantrekkelijk	
de	uitnodiging	ˈœy̯tˌnoːdəɣɪŋ*	znw*	uitnodigingen; /*	B1		
	uitoefenen	*	ww*	oefen uit, uitoefende, uitgeoefend*	B1		
	uitpakken	ˈœy̯tˌpɑkə(n)*	ww*	pak uit, uitpakte, uitgepakt*	A2		Gaan we de cadeautjes uitpakken?
	uitpakken met	*					
	uitpluizen	*	ww*	pluis uit, ploos uit, uitgepluist*	B2		
	uitpraten	*	ww*	uitpraat, uitpraatte, uitgepraat*	B1	praten tot je klaar bent	
	uitproberen	*	ww*	probeer uit, probeerde uit, uitgeprobeerd*	B1	testen	
	uitpuilen	*	ww*	uitpuil, uitpuilde, uitgepuild*	B2		
	uitputten	ˈœy̯tˌpʏtə(n)*	ww*	put uit, uitputte, uitgeput*	B1	1. moe maken 2. opgebruiken	
zich	uitputten in	*					
	uitputtend	*	bnw*	uitputtende; uitputtender, uitputtendst*	B2*		
de	uitputting	*	znw*	uitputtingen; /*	B1*		
	uitreiken	ˈœy̯tˌrɛi̯kə(n)*	ww*	uitreik, reikte uit, uitgereikt*	B2*		
	uitrekenen	œy̯treːkənən*	ww*	uitreken, uitrekende, uitgerekend*	B1*		
de	uitrit	*	znw*	uitritten; uitritje*	B1*		
	uitroeien	*	ww*	uitroei, roeide uit, uitgeroeid*	B2*		
de	uitroep	*	znw*	uitroepen; uitroepje*	B2*		
	uitroepen	*	ww*	roep uit, riep uit, uitgeroepen*	B2*		
	uitroepen tot	*					
het	uitroepteken	*	znw*	uitroeptekens; uitroeptekentje*	B2*		
	uitrusten	ˈœy̯trʏstə(n)*	ww*	uitrust, rustte uit, uitgerust*	A2*		
	uitrusten met	*				voorzien van; zorgen dat je iets hebt	
de	uitrusting	*	znw*	uitrustingen; uitrustinkje*	B2*		
	uitschakelen	*	ww*	schakel uit, uitschakelde, uitgeschakeld*	B1*		
	uitscheiden	ˈœy̯tˌsxɛi̯də(n)*	ww; ww*	uitscheid, scheed uit, uitgescheeën*	B2*		
	uitschelden	ˈœy̯tˌsxɛldə(n)*	ww*	scheld uit, schold uit, uitgescholden*	B1*		
de	uitschieter	*	znw*	uitschieters; uitschietertje*	B2*	iets dat sterk verschilt met de rest	
	uitschijnen	*	ww*	uitschijn, uitscheen, uitgeschenen*	B2*		
het	uitschot	ˈœy̯tsxɔt*	znw*	uitschotten; /*	B2*	krapuul, slechte bende	
	uitschrijven	*	ww	schrijf uit, uitschreef, uitgeschreven	B2*	uit een register verwijderen	
	uitschrijven	*	ww	schrijf uit, uitschreef, uitgeschreven	B2*	schrijven tot je klaar bent	
de	uitslag	ˈœy̯tslɑx*	znw*	uitslagen; uitslagje*	B1*	resultaat van een test	
	uitslapen	*	ww*	uitslaap, sliep uit, uitgeslapen*	B1*	langer slapen dan normaal, tot je niet moe meer bent	
	uitsloven	*	ww*	uitsloof, sloofde uit, uitgesloofd*	B2*		
	uitsluiten	*	ww*	uitsluit, sloot uit, uitgesloten*	A2(?)		
	uitsluiten van	*					
	uitsluitend	*	bnw*	uitsluitende; /, /*	A2(?)		
het	uitsluitsel	*	znw*	uitsluitsels; /*	B2*	beslissend antwoord of bewijs	
de	uitsmijter	*	znw*	uitsmijters; uitsmijtertje*	B2*		
de	uitspanning	*	znw*	uitspanningen; uitspanninkje*	B2*		
de	uitspatting	*	znw*	uitspattingen; uitspattinkje*	B2*		
	uitspelen	*	ww*	uitspeel, uitspeelde, uitgespeeld*	B2*	tot het einde spelen	Ik heb het eerste level nog niet uitgespeeld.
	uitspelen tegen	*					
de	uitspraak	*	znw*	uitspraken; uitspraakje*	A2	1. iets wat je zegt 2. hoe je iets zegt 3. oordeel/beslissing van de rechter	
	uitspreken	ˈœy̯tˌspreːkə(n)*	ww*	spreek uit, sprak uit, uitgesproken*	A2		
	uitstaan	*	ww; znw*	sta uit, uitstond, uitgestaan*	B2*		
	uitstallen	*	ww*	uitstal, uitstalde, uitgestald*	B2*		
het	uitstalraam	*	znw*	uitstalramen; uitstalraampje*	B2*	(BE) etalage	
het	uitstapje	ˈœy̯tstɑpjə*				korte plezierreis, excursie	
	uitstappen	*	ww*	uitstap, uitstapte, uitgestapt*	A2*	uit een trein, metro, ... komen	
	bij uitstek	bɛi̯ ˈœy̯tstɛk*					
	uitsteken	ˈœy̯tˌsteːkə(n)*	ww	uitsteek, uitstak, uitgestoken	B1*	groter zijn dan de rest	
	uitsteken	ˈœy̯tˌsteːkə(n)*	ww	uitsteek, uitstak, uitgestoken	B1	(van een arm of been) weg van je lichaam bewegen	
	uitsteken boven	*					
	uitstekend	œy̯tˈsteːkənt*	bnw; bnw*	uitstekende; /, /*	A2	heel goed	
het	uitstel	ˈœy̯tstɛl*	znw*	/; /*	B1*		
	uitstellen	ˈœy̯tˌstɛlə(n)*	ww*	stel uit, stelde uit, uitgesteld*	B1*	beslissen om iets later te doen	
	uitsterven	*	ww*	sterf uit, stierf uit, uitgestorven*	B1	als een hele soort/groep doodgaat	
	uitstippelen	*	ww*	uitstippel, stippelde uit, uitgestippeld*	B2*		
de	uitstraling	*	znw*	uitstralingen; /*	B2*		
zich	uitstrekken	*	ww*	strek uit, strekte uit, uitgestrekt*	B2*		
het	uitstrijkje	*	znw*	uitstrijkjes; /*	B2*		
de	uittocht	ˈœy̯tɔxt*	znw*	uittochten; /*	B2*		
	uittrekken	ˈœy̯(t)ˌtrɛkə(n)*	ww*	uittrek, trok uit, uitgetrokken*	B1*		
	uittrekken voor	*					
het	uittreksel	*	znw*	uittreksels; uittrekseltje*	B2*		
	uitvaardigen	*	ww*	vaardig uit, uitvaardigde, uitgevaardigd*	B2*		
de	uitvaart	*	znw*	uitvaarten; /*	B2*	begravenis	
de	uitval	*	znw*	uitvallen; uitvalletje*	B1*		
	uitvallen	*	ww*	val uit, viel uit, uitgevallen*	B1*		
	uitvaren	*	ww*	uitvaar, uitvoer, uitgevaren*	B2*		
	uitvechten	ˈœy̯tˌfɛxtə(n)*	ww*	vecht uit, uitvocht, uitgevochten*	B2*		
	uitvergroten	ˈœy̯tfərˌɣroːtə(n)*	ww*	uitvergroot, uitvergrootte, uitvergroot*	B2*		
	uitverkocht	ˈœy̯tfərˌkɔxt*	bnw*	uitverkochte; /, /*	B1*	niet meer op voorraad	
de	uitverkoop	ˈœy̯tfərˌkoːp*	znw*	uitverkopen; uitverkoopje*	B1*	wanneer een winkel de oude producten op een lagere prijs verkoopt	
	uitverkoren	ˈœy̯tfɛrˌkoːrə(n)*	bnw*	/; uitverkorener, uitverkorenst*	B2*		
	uitvinden	*	ww*	uitvind, uitvond, uitgevonden*	B1*	iets nieuws bedenken	
de	uitvinding	ˈœy̯tvɪndɪŋ*	znw*	uitvindingen; uitvindinkje*	B1*	een nieuw bedacht ding	
het	uitvloeisel	*	znw*	uitvloeisels; /*	B2*		
de	uitvlucht	*	znw*	uitvluchten; uitvluchtje*	B2*		
de	uitvoer	*	znw	uitvoeren; /	B1*	het verkopen aan het buitenland	
	uitvoeren	ˈœy̯tˌfuːrə(n)*	ww*	voer uit, voerde uit, uitgevoerd*	B1*	doen wat beslist is	
	uitvoeren	ˈœy̯tˌfuːrə(n)*	ww*	voer uit, voerde uit, uitgevoerd*	B1*	exporteren	
	uitvoeren	ˈœy̯tˌfuːrə(n)*	ww*	voer uit, voerde uit, uitgevoerd*	A2	vertonen aan een publiek	
	uitvoerig	*	bnw*	uitvoerige; uitvoeriger, uitvoerigst*	A2	met veel details	
de	uitvoering	*	znw*	uitvoeringen; uitvoerinkje*	A2	vertoning (bv. theater) aan een publiek	
de	uitwedstrijd	*	znw*	uitwedstrijden; uitwedstrijdje*	B2*	wedstrijd op het terrein van de andere	
de	uitweg	*	znw*	uitwegen; uitwegje*	B2*		
	uitweiden	*	ww*	weid uit, weidde uit, uitgeweid*	B2*		
	uitwendig	*	bnw*	uitwendige; uitwendiger, uitwendigst*	B2*		
	uitwerken	*	ww*	werk uit, uitwerkte, uitgewerkt*	B1*		
de	uitwerpselen	*				kak, stront (formeel)	
	uitwijken	*	ww*	uitwijk, week uit, uitgeweken*	B2*	uit de weg gaan	
	uitwijzen	*	ww*	wijs uit, wees uit, uitgewezen*	B1*	(automatisch) laten zien	
	uitwijzen	*	ww*	wijs uit, wees uit, uitgewezen*	B1*	uit het land zetten	
	uitwisselen	*	ww*	wissel uit, uitwisselde, uitgewisseld*	B1*		
de	uitzaaiing	ˈœy̯tˌzaːjɪŋ*	znw*	uitzaaiingen; uitzaaiinkje*	B1*		
het	uitzendbureau	*	znw*	uitzendbureaus; uitzendbureautje*	B1*		
	uitzenden	*	ww*	uitzend, zond uit, uitgezonden*	B1*		
de	uitzending	*	znw*	uitzendingen; uitzendinkje*	B1*		
de	uitzendkracht	*	znw*	uitzendkrachten; uitzendkrachtje*	B1*		
het	uitzendwerk	*	znw*	uitzendwerken; /*	B2*		
	uitzetten	ˈœy̯tˌsɛtə(n)*	ww*	zet uit, uitzette, uitgezet*	B1*		
het	uitzicht	*	znw*	uitzichten; uitzichtje*	B1*		
	uitzichtloos	ˈœy̯tzɪxtˌloːs*	bnw*	uitzichtloze; uitzichtlozer, uitzichtloost*	B2*	hopeloos, waarin je geen goed/positief einde ziet	
	er uitzien	*			A2	lijken	
	uitzien naar	*			B1	blij zijn dat iets gaat komen	
	uit zijn op	*			B2	graag willen krijgen	Mijn vader is altijd uit op de nieuwste modellen van apparaten.
	uitzinnig	*	bnw*	uitzinnige; uitzinniger, uitzinnigst*	B2*		
	uitzitten	ˈœy̯tˌsɪtə(n)*	ww*	zit uit, zat uit, uitgezeten*	B2*	wachten/blijven tot iets voorbij is	
	uitzoeken	*	ww*	uitzoek, zocht uit, uitgezocht*	B1*		
de	uitzondering	ˈœy̯tˌsɔndərɪŋ*	znw*	uitzonderingen; /*	A2	het enige ding dat de regel niet volgt	
	uitzonderlijk	ˌœy̯tˈsɔndərlək*	bnw*	uitzonderlijke; uitzonderlijker, uitzonderlijkst*	B2*	niet alledaags, niet zoals gewoonlijk	
	ultiem	*	bnw*	ultieme; ultiemer, ultiemst*	B2*	laatste, hoogste	
het	ultimatum	ˌʏltiˈmaːtʏm*	znw*	ultimata; /*	B2*	laatste kans om iets op te lossen	
de	umlaut	ˈumlɑu̯t*	znw*	umlauten; /*	B2*	het teken ¨ op het Duitse föhn	
	unaniem	ˌynaːˈnim*	bnw*	unanieme; unaniemer, unaniemst*	B2*	als iedereen akkoord / het eens is	
de	underdog	*	znw*	underdogs; underdogje*	B2*	persoon die niet als sterk wordt gezien	
de	Unesco	uˈnɛsko*				VN-organisatie voor onderwijs, wetenschap en cultuur	
de	uni	*	afk; znw			"(NL) kort voor ""universiteit"""	
het	Unicef	*				VN-organisatie om kinderen in nood te helpen	
de	unie	ˈyni*	znw*	unies; /*	B2*	groep mensen met een bepaald doel	
de	unief	*	znw*	uniefs; uniefje*	B2*	"(BE) kort voor ""universiteit"""	
	uniek	*	bnw*	unieke; unieker, uniekst*	B1	zonder equivalent	
	uniform	ˈyniˌfɔrm*	bnw; znw*	uniforme; uniformer, uniformst*	B2	met dezelfde vorm	
het	uniform	ˈyniˌfɔrm*	bnw; znw*	uniforme; uniformer, uniformst*	B1	dezelfde soort kleding	
de	unit	*	znw*	units; /*	B2	afdeling	
	universeel	ˌynivɛrˈzeːl*	bnw*	universele; universeler, universeelst*	B2	algemeen; op de hele wereld	
	universitair	ˌynivɛrziˈtɛːr*	bnw*	universitaire; universitairder, universitairst*	B1	academisch, wetenschappelijk	
de	universiteit	ynivɛrziˈtɛi̯t*	znw*	universiteiten; universiteitje*	A2	academisch instituut, school voor hoger onderwijs	
het	universum	ˌyniˈvɛrzʏm*	znw*	universums; universumpje*	B1	heelal	
het	uranium	ˌyˈraːniʏm*	znw*	/; /*	B2	soort radioactief chemisch element	
	urenlang	ˈyːrə(n)lɑŋ*	bnw*	urenlange; /, /*	B1	heel lang	
	urgent	*	bnw*	urgente; urgenter, urgentst*	B2	dringend; met haast te doen	
de	urine	yˈrinə*	znw*	/; /*	B1	plas	
het	urinoir	ˌyriˈnʋaːr*	znw*	urinoirs; urinoirtje*	B2	toilet of wc voor mannen	
de	urn	ʏrn*	znw*	urnen; urntje*	B2	pot waar iemands as in zit	
de	utopie	ˌytoːˈpi*	znw*	utopieën; utopietje*	B2	denkbeeldige plaats/tijdsperiode waar alles ideaal is	
het	uur	yr*	znw*	uren; uurtje*	A1	periode van 60 minuten	
het	uurwerk	ˈyːrʋɛrk*	znw*	uurwerken; uurwerkje*	B2	horloge	
	uw	yu̯*	vnw*	*	A1	jouw (formeel)	
